1	23963
2	4073
3	142857
4	893
5	1761
6	244629
7	194
8	1563
9	201955
10	7827
11	29905
12	236
13	174015
14	4543
15	128
16	166
17	7972
18	18152
19	182
20	1178
21	20471
22	5100
23	60742
24	2244
25	101951
26	354
27	8843
28	11
29	19
30	678
31	3
32	246
33	26
34	86158
35	131
36	143
37	33532
38	3125
39	678
40	1948
41	114
42	2742
43	3017
44	17283
45	873
46	219
47	356
48	17978
49	2824
50	29307
51	12230
52	1189
53	8736
54	1789
55	2655
56	1852
57	1067
58	1306
59	1412
60	25
61	222
62	247
63	218
64	2650
65	1950
66	1199
67	791
68	870
69	45
70	56559
71	658
72	3285
73	12289
74	935
75	421
76	878
77	18
78	8049
79	9
80	665
81	2834
82	1183
83	14616
84	19374
85	379
86	294
87	8990
88	47728
89	15966
90	113006
91	1
92	981
93	4071
94	4076
95	2218
96	5076
97	10516
98	519
99	1856
100	6
101	1
102	6231
103	2976
104	3034
105	1
106	348
107	1734
108	3019
109	11
110	67
111	944
112	3015
113	431
114	337
115	1033
116	1474
117	475
118	2
119	951
120	17120
121	559
122	285
123	13838
124	3695
125	3993
126	555
127	2164
128	33
129	2062
130	3875
131	2
132	363
133	1576
134	220
135	207
136	1460
137	1
138	49
139	17
140	3236
141	118
142	1
143	101
144	1402
145	361
146	62
147	263
148	177
149	7035
150	38
151	4945
152	3
153	5943
154	140
155	52
156	30005
157	19029
158	10
159	1866
160	3016
161	72113
162	120
163	21613
164	1
165	646
166	576
167	3
168	4355
169	2
170	39
171	27
172	32
173	34918
174	4286
175	2496
176	9661
177	26167
178	2553
179	7164
180	5493
181	3635
182	2755
183	75
184	29
185	2098
186	9613
187	5521
188	1262
189	3307
190	1
191	13345
192	1255
193	7
194	7859
195	120
196	60353
197	209
198	160
199	4456
200	314
201	20105
202	474
203	2213
204	63
205	11729
206	4790
207	69
208	23531
209	1
210	6468
211	609
212	1452
213	753
214	3533
215	3458
216	492
217	13873
218	5
219	7862
220	5110
221	1846
222	3078
223	1189
224	315
225	1
226	9370
227	7768
228	2070
229	1803
230	10388
231	1169
232	9927
233	231
234	478
235	9031
236	73
237	2
238	9335
239	1817
240	8857
241	503
242	34
243	18829
244	12364
245	573
246	9946
247	55
248	32675
249	562
250	22068
251	126
252	23
253	7458
254	10709
255	15086
256	80
257	209
258	2519
259	11555
260	7331
261	1610
262	40
263	1783
264	5208
265	970
266	9034
267	11672
268	1993
269	4454
270	1068
271	34819
272	2631
273	907
274	2202
275	11380
276	297
277	4071
278	465
279	133
280	1463
281	64
282	5942
283	6725
284	6523
285	35138
286	5773
287	2576
288	608
289	263
290	805
291	3136
292	1434
293	1106
294	1121
295	4758
296	1174
297	710
298	2100
299	8170
300	6924
301	2172
302	7185
303	763
304	1154
305	5278
306	2639
307	82
308	4072
309	1280
310	11270
311	13993
312	893
313	3214
314	872
315	629
316	1924
317	1
318	8
319	3
320	4531
321	3530
